2022-10-27 17:21:13.183548 Epoch [001/200], Step [0020/0253], [lateral-3: 1.4409]
2022-10-27 17:21:27.162428 Epoch [001/200], Step [0040/0253], [lateral-3: 1.3569]
2022-10-27 17:21:41.104034 Epoch [001/200], Step [0060/0253], [lateral-3: 1.2354]
2022-10-27 17:21:55.097821 Epoch [001/200], Step [0080/0253], [lateral-3: 1.1831]
2022-10-27 17:22:09.220612 Epoch [001/200], Step [0100/0253], [lateral-3: 1.1609]
2022-10-27 17:22:23.293733 Epoch [001/200], Step [0120/0253], [lateral-3: 1.1390]
2022-10-27 17:22:37.036144 Epoch [001/200], Step [0140/0253], [lateral-3: 1.1211]
2022-10-27 17:22:51.219855 Epoch [001/200], Step [0160/0253], [lateral-3: 1.1035]
2022-10-27 17:23:05.294970 Epoch [001/200], Step [0180/0253], [lateral-3: 1.0794]
2022-10-27 17:23:18.962207 Epoch [001/200], Step [0200/0253], [lateral-3: 1.0478]
2022-10-27 17:23:32.144947 Epoch [001/200], Step [0220/0253], [lateral-3: 1.0235]
2022-10-27 17:23:45.644007 Epoch [001/200], Step [0240/0253], [lateral-3: 1.0065]
2022-10-27 17:23:54.355668 Epoch [001/200], Step [0253/0253], [lateral-3: 1.0000]
{'time': datetime.datetime(2022, 10, 27, 17, 23, 54, 449351), 'Epoch ': 1, 'loss': tensor(1.0000, device='cuda:0')}

2022-10-27 17:24:09.863252 Epoch [002/200], Step [0020/0253], [lateral-3: 0.9475]
2022-10-27 17:24:23.414502 Epoch [002/200], Step [0040/0253], [lateral-3: 0.9295]
2022-10-27 17:24:37.216169 Epoch [002/200], Step [0060/0253], [lateral-3: 0.9077]
2022-10-27 17:24:51.056842 Epoch [002/200], Step [0080/0253], [lateral-3: 0.8966]
2022-10-27 17:25:04.914746 Epoch [002/200], Step [0100/0253], [lateral-3: 0.8813]
2022-10-27 17:25:18.543771 Epoch [002/200], Step [0120/0253], [lateral-3: 0.8686]
2022-10-27 17:25:32.673992 Epoch [002/200], Step [0140/0253], [lateral-3: 0.8576]
2022-10-27 17:25:46.654429 Epoch [002/200], Step [0160/0253], [lateral-3: 0.8478]
2022-10-27 17:26:00.791199 Epoch [002/200], Step [0180/0253], [lateral-3: 0.8341]
2022-10-27 17:26:14.770664 Epoch [002/200], Step [0200/0253], [lateral-3: 0.8264]
2022-10-27 17:26:29.015327 Epoch [002/200], Step [0220/0253], [lateral-3: 0.8177]
2022-10-27 17:26:42.564165 Epoch [002/200], Step [0240/0253], [lateral-3: 0.7997]
2022-10-27 17:26:51.623974 Epoch [002/200], Step [0253/0253], [lateral-3: 0.8024]
{'time': datetime.datetime(2022, 10, 27, 17, 26, 51, 750877), 'Epoch ': 2, 'loss': tensor(0.8024, device='cuda:0')}

2022-10-27 17:27:06.571772 Epoch [003/200], Step [0020/0253], [lateral-3: 0.7349]
2022-10-27 17:27:20.511261 Epoch [003/200], Step [0040/0253], [lateral-3: 0.7265]
2022-10-27 17:27:33.718143 Epoch [003/200], Step [0060/0253], [lateral-3: 0.7183]
2022-10-27 17:27:47.724347 Epoch [003/200], Step [0080/0253], [lateral-3: 0.7201]
2022-10-27 17:28:01.295787 Epoch [003/200], Step [0100/0253], [lateral-3: 0.7140]
2022-10-27 17:28:15.443551 Epoch [003/200], Step [0120/0253], [lateral-3: 0.6909]
2022-10-27 17:28:29.400777 Epoch [003/200], Step [0140/0253], [lateral-3: 0.6997]
2022-10-27 17:28:43.670479 Epoch [003/200], Step [0160/0253], [lateral-3: 0.7005]
2022-10-27 17:28:57.917889 Epoch [003/200], Step [0180/0253], [lateral-3: 0.6644]
2022-10-27 17:29:11.947807 Epoch [003/200], Step [0200/0253], [lateral-3: 0.6578]
2022-10-27 17:29:25.864723 Epoch [003/200], Step [0220/0253], [lateral-3: 0.6582]
2022-10-27 17:29:40.058762 Epoch [003/200], Step [0240/0253], [lateral-3: 0.6504]
2022-10-27 17:29:48.382278 Epoch [003/200], Step [0253/0253], [lateral-3: 0.6539]
{'time': datetime.datetime(2022, 10, 27, 17, 29, 48, 525259), 'Epoch ': 3, 'loss': tensor(0.6539, device='cuda:0')}

2022-10-27 17:30:03.450997 Epoch [004/200], Step [0020/0253], [lateral-3: 0.6291]
2022-10-27 17:30:17.337999 Epoch [004/200], Step [0040/0253], [lateral-3: 0.6113]
2022-10-27 17:30:31.474861 Epoch [004/200], Step [0060/0253], [lateral-3: 0.5868]
2022-10-27 17:30:45.579447 Epoch [004/200], Step [0080/0253], [lateral-3: 0.5778]
2022-10-27 17:30:59.858079 Epoch [004/200], Step [0100/0253], [lateral-3: 0.5874]
2022-10-27 17:31:14.124384 Epoch [004/200], Step [0120/0253], [lateral-3: 0.5929]
2022-10-27 17:31:28.314773 Epoch [004/200], Step [0140/0253], [lateral-3: 0.5840]
2022-10-27 17:31:42.540519 Epoch [004/200], Step [0160/0253], [lateral-3: 0.5851]
2022-10-27 17:31:56.709538 Epoch [004/200], Step [0180/0253], [lateral-3: 0.5917]
2022-10-27 17:32:10.875251 Epoch [004/200], Step [0200/0253], [lateral-3: 0.5879]
2022-10-27 17:32:24.904767 Epoch [004/200], Step [0220/0253], [lateral-3: 0.5711]
2022-10-27 17:32:39.059155 Epoch [004/200], Step [0240/0253], [lateral-3: 0.5672]
2022-10-27 17:32:48.009232 Epoch [004/200], Step [0253/0253], [lateral-3: 0.5612]
{'time': datetime.datetime(2022, 10, 27, 17, 32, 48, 145234), 'Epoch ': 4, 'loss': tensor(0.5612, device='cuda:0')}

2022-10-27 17:33:03.729484 Epoch [005/200], Step [0020/0253], [lateral-3: 0.5123]
2022-10-27 17:33:17.959228 Epoch [005/200], Step [0040/0253], [lateral-3: 0.5132]
2022-10-27 17:33:31.757799 Epoch [005/200], Step [0060/0253], [lateral-3: 0.5142]
2022-10-27 17:33:45.750730 Epoch [005/200], Step [0080/0253], [lateral-3: 0.5128]
2022-10-27 17:33:59.744207 Epoch [005/200], Step [0100/0253], [lateral-3: 0.5116]
2022-10-27 17:34:13.789121 Epoch [005/200], Step [0120/0253], [lateral-3: 0.5133]
2022-10-27 17:34:27.025761 Epoch [005/200], Step [0140/0253], [lateral-3: 0.5128]
2022-10-27 17:34:40.542782 Epoch [005/200], Step [0160/0253], [lateral-3: 0.5018]
2022-10-27 17:34:54.507511 Epoch [005/200], Step [0180/0253], [lateral-3: 0.4977]
2022-10-27 17:35:08.680809 Epoch [005/200], Step [0200/0253], [lateral-3: 0.5094]
2022-10-27 17:35:22.962428 Epoch [005/200], Step [0220/0253], [lateral-3: 0.5086]
2022-10-27 17:35:36.918352 Epoch [005/200], Step [0240/0253], [lateral-3: 0.5111]
2022-10-27 17:35:45.212274 Epoch [005/200], Step [0253/0253], [lateral-3: 0.5176]
{'time': datetime.datetime(2022, 10, 27, 17, 35, 45, 343236), 'Epoch ': 5, 'loss': tensor(0.5176, device='cuda:0')}

2022-10-27 17:36:00.184444 Epoch [006/200], Step [0020/0253], [lateral-3: 0.4389]
2022-10-27 17:36:13.722421 Epoch [006/200], Step [0040/0253], [lateral-3: 0.4372]
2022-10-27 17:36:26.963327 Epoch [006/200], Step [0060/0253], [lateral-3: 0.4458]
2022-10-27 17:36:40.620169 Epoch [006/200], Step [0080/0253], [lateral-3: 0.4528]
2022-10-27 17:36:54.756535 Epoch [006/200], Step [0100/0253], [lateral-3: 0.4495]
2022-10-27 17:37:08.756076 Epoch [006/200], Step [0120/0253], [lateral-3: 0.4579]
2022-10-27 17:37:22.159047 Epoch [006/200], Step [0140/0253], [lateral-3: 0.4499]
2022-10-27 17:37:36.341634 Epoch [006/200], Step [0160/0253], [lateral-3: 0.4440]
2022-10-27 17:37:50.527005 Epoch [006/200], Step [0180/0253], [lateral-3: 0.4465]
2022-10-27 17:38:04.281187 Epoch [006/200], Step [0200/0253], [lateral-3: 0.4552]
2022-10-27 17:38:17.961733 Epoch [006/200], Step [0220/0253], [lateral-3: 0.4636]
2022-10-27 17:38:32.195890 Epoch [006/200], Step [0240/0253], [lateral-3: 0.4461]
2022-10-27 17:38:41.354550 Epoch [006/200], Step [0253/0253], [lateral-3: 0.4456]
{'time': datetime.datetime(2022, 10, 27, 17, 38, 41, 498594), 'Epoch ': 6, 'loss': tensor(0.4456, device='cuda:0')}

2022-10-27 17:38:56.693929 Epoch [007/200], Step [0020/0253], [lateral-3: 0.4141]
2022-10-27 17:39:10.858575 Epoch [007/200], Step [0040/0253], [lateral-3: 0.4090]
2022-10-27 17:39:24.519657 Epoch [007/200], Step [0060/0253], [lateral-3: 0.4221]
2022-10-27 17:39:37.992963 Epoch [007/200], Step [0080/0253], [lateral-3: 0.4283]
2022-10-27 17:39:51.607226 Epoch [007/200], Step [0100/0253], [lateral-3: 0.4065]
2022-10-27 17:40:04.814524 Epoch [007/200], Step [0120/0253], [lateral-3: 0.4115]
2022-10-27 17:40:18.915180 Epoch [007/200], Step [0140/0253], [lateral-3: 0.4325]
2022-10-27 17:40:32.902621 Epoch [007/200], Step [0160/0253], [lateral-3: 0.4212]
2022-10-27 17:40:46.595677 Epoch [007/200], Step [0180/0253], [lateral-3: 0.4219]
2022-10-27 17:41:00.747201 Epoch [007/200], Step [0200/0253], [lateral-3: 0.4378]
2022-10-27 17:41:14.124906 Epoch [007/200], Step [0220/0253], [lateral-3: 0.4342]
2022-10-27 17:41:28.249309 Epoch [007/200], Step [0240/0253], [lateral-3: 0.4380]
2022-10-27 17:41:37.232082 Epoch [007/200], Step [0253/0253], [lateral-3: 0.4487]
{'time': datetime.datetime(2022, 10, 27, 17, 41, 37, 389663), 'Epoch ': 7, 'loss': tensor(0.4487, device='cuda:0')}

2022-10-27 17:41:51.879244 Epoch [008/200], Step [0020/0253], [lateral-3: 0.4130]
2022-10-27 17:42:05.527948 Epoch [008/200], Step [0040/0253], [lateral-3: 0.4047]
2022-10-27 17:42:19.825323 Epoch [008/200], Step [0060/0253], [lateral-3: 0.4090]
2022-10-27 17:42:34.304665 Epoch [008/200], Step [0080/0253], [lateral-3: 0.4180]
2022-10-27 17:42:47.918774 Epoch [008/200], Step [0100/0253], [lateral-3: 0.4005]
2022-10-27 17:43:02.051041 Epoch [008/200], Step [0120/0253], [lateral-3: 0.3912]
2022-10-27 17:43:16.577050 Epoch [008/200], Step [0140/0253], [lateral-3: 0.3958]
2022-10-27 17:43:30.908919 Epoch [008/200], Step [0160/0253], [lateral-3: 0.4047]
2022-10-27 17:43:44.658673 Epoch [008/200], Step [0180/0253], [lateral-3: 0.4091]
2022-10-27 17:43:58.839470 Epoch [008/200], Step [0200/0253], [lateral-3: 0.4073]
2022-10-27 17:44:13.189082 Epoch [008/200], Step [0220/0253], [lateral-3: 0.4284]
2022-10-27 17:44:27.389914 Epoch [008/200], Step [0240/0253], [lateral-3: 0.4482]
2022-10-27 17:44:36.331969 Epoch [008/200], Step [0253/0253], [lateral-3: 0.4513]
{'time': datetime.datetime(2022, 10, 27, 17, 44, 36, 471604), 'Epoch ': 8, 'loss': tensor(0.4513, device='cuda:0')}

2022-10-27 17:44:51.655325 Epoch [009/200], Step [0020/0253], [lateral-3: 0.3848]
2022-10-27 17:45:05.730934 Epoch [009/200], Step [0040/0253], [lateral-3: 0.3800]
2022-10-27 17:45:19.583716 Epoch [009/200], Step [0060/0253], [lateral-3: 0.3735]
2022-10-27 17:45:33.527680 Epoch [009/200], Step [0080/0253], [lateral-3: 0.3795]
2022-10-27 17:45:47.737926 Epoch [009/200], Step [0100/0253], [lateral-3: 0.3828]
2022-10-27 17:46:01.939177 Epoch [009/200], Step [0120/0253], [lateral-3: 0.3710]
2022-10-27 17:46:16.255555 Epoch [009/200], Step [0140/0253], [lateral-3: 0.3703]
2022-10-27 17:46:30.105527 Epoch [009/200], Step [0160/0253], [lateral-3: 0.3679]
2022-10-27 17:46:43.456828 Epoch [009/200], Step [0180/0253], [lateral-3: 0.3663]
2022-10-27 17:46:57.148815 Epoch [009/200], Step [0200/0253], [lateral-3: 0.3793]
2022-10-27 17:47:11.339516 Epoch [009/200], Step [0220/0253], [lateral-3: 0.3809]
2022-10-27 17:47:25.255357 Epoch [009/200], Step [0240/0253], [lateral-3: 0.3803]
2022-10-27 17:47:34.104270 Epoch [009/200], Step [0253/0253], [lateral-3: 0.3886]
{'time': datetime.datetime(2022, 10, 27, 17, 47, 34, 227574), 'Epoch ': 9, 'loss': tensor(0.3886, device='cuda:0')}

2022-10-27 17:47:49.702423 Epoch [010/200], Step [0020/0253], [lateral-3: 0.3594]
2022-10-27 17:48:03.928027 Epoch [010/200], Step [0040/0253], [lateral-3: 0.3566]
2022-10-27 17:48:18.109386 Epoch [010/200], Step [0060/0253], [lateral-3: 0.3457]
2022-10-27 17:48:32.083432 Epoch [010/200], Step [0080/0253], [lateral-3: 0.3559]
2022-10-27 17:48:46.145211 Epoch [010/200], Step [0100/0253], [lateral-3: 0.3662]
2022-10-27 17:49:00.308633 Epoch [010/200], Step [0120/0253], [lateral-3: 0.3641]
2022-10-27 17:49:14.450839 Epoch [010/200], Step [0140/0253], [lateral-3: 0.3658]
2022-10-27 17:49:28.326328 Epoch [010/200], Step [0160/0253], [lateral-3: 0.3569]
2022-10-27 17:49:42.599177 Epoch [010/200], Step [0180/0253], [lateral-3: 0.3581]
2022-10-27 17:49:56.902735 Epoch [010/200], Step [0200/0253], [lateral-3: 0.3540]
2022-10-27 17:50:11.170679 Epoch [010/200], Step [0220/0253], [lateral-3: 0.3594]
2022-10-27 17:50:25.267855 Epoch [010/200], Step [0240/0253], [lateral-3: 0.3763]
2022-10-27 17:50:33.854811 Epoch [010/200], Step [0253/0253], [lateral-3: 0.3803]
{'time': datetime.datetime(2022, 10, 27, 17, 50, 33, 985827), 'Epoch ': 10, 'loss': tensor(0.3803, device='cuda:0')}

2022-10-27 17:50:49.502081 Epoch [011/200], Step [0020/0253], [lateral-3: 0.3706]
2022-10-27 17:51:03.715197 Epoch [011/200], Step [0040/0253], [lateral-3: 0.3626]
2022-10-27 17:51:17.005409 Epoch [011/200], Step [0060/0253], [lateral-3: 0.3519]
2022-10-27 17:51:30.706009 Epoch [011/200], Step [0080/0253], [lateral-3: 0.3485]
2022-10-27 17:51:44.928363 Epoch [011/200], Step [0100/0253], [lateral-3: 0.3473]
