2022-11-02 22:14:56.507617 Epoch [001/050], Step [0020/0505], [lateral-3: 2.8776]
2022-11-02 22:15:12.353592 Epoch [001/050], Step [0040/0505], [lateral-3: 2.7410]
2022-11-02 22:15:29.036433 Epoch [001/050], Step [0060/0505], [lateral-3: 2.5600]
2022-11-02 22:15:48.739284 Epoch [001/050], Step [0080/0505], [lateral-3: 2.4839]
2022-11-02 22:16:09.685856 Epoch [001/050], Step [0100/0505], [lateral-3: 2.4472]
2022-11-02 22:16:30.414803 Epoch [001/050], Step [0120/0505], [lateral-3: 2.3910]
2022-11-02 22:16:50.435763 Epoch [001/050], Step [0140/0505], [lateral-3: 2.3079]
2022-11-02 22:17:10.651286 Epoch [001/050], Step [0160/0505], [lateral-3: 2.2487]
2022-11-02 22:17:32.166969 Epoch [001/050], Step [0180/0505], [lateral-3: 2.2033]
2022-11-02 22:17:53.389832 Epoch [001/050], Step [0200/0505], [lateral-3: 2.1614]
2022-11-02 22:18:14.505402 Epoch [001/050], Step [0220/0505], [lateral-3: 2.1234]
2022-11-02 22:18:35.919083 Epoch [001/050], Step [0240/0505], [lateral-3: 2.0884]
2022-11-02 22:18:56.989581 Epoch [001/050], Step [0260/0505], [lateral-3: 2.0634]
2022-11-02 22:19:18.358104 Epoch [001/050], Step [0280/0505], [lateral-3: 2.0264]
2022-11-02 22:19:39.190454 Epoch [001/050], Step [0300/0505], [lateral-3: 1.9841]
2022-11-02 22:20:00.147177 Epoch [001/050], Step [0320/0505], [lateral-3: 1.9805]
2022-11-02 22:20:21.192405 Epoch [001/050], Step [0340/0505], [lateral-3: 1.9590]
2022-11-02 22:20:42.753917 Epoch [001/050], Step [0360/0505], [lateral-3: 1.9208]
2022-11-02 22:21:04.126675 Epoch [001/050], Step [0380/0505], [lateral-3: 1.8998]
2022-11-02 22:21:25.619542 Epoch [001/050], Step [0400/0505], [lateral-3: 1.8841]
2022-11-02 22:21:47.024050 Epoch [001/050], Step [0420/0505], [lateral-3: 1.8720]
2022-11-02 22:22:08.397331 Epoch [001/050], Step [0440/0505], [lateral-3: 1.8313]
2022-11-02 22:22:29.791043 Epoch [001/050], Step [0460/0505], [lateral-3: 1.8162]
2022-11-02 22:22:51.154149 Epoch [001/050], Step [0480/0505], [lateral-3: 1.8045]
2022-11-02 22:23:12.283207 Epoch [001/050], Step [0500/0505], [lateral-3: 1.7993]
2022-11-02 22:23:17.509767 Epoch [001/050], Step [0505/0505], [lateral-3: 1.7754]
{'time': datetime.datetime(2022, 11, 2, 22, 23, 17, 616991), 'Epoch ': 1, 'loss': tensor(1.7754, device='cuda:0')}

2022-11-02 22:23:39.583735 Epoch [002/050], Step [0020/0505], [lateral-3: 1.6081]
2022-11-02 22:24:00.429141 Epoch [002/050], Step [0040/0505], [lateral-3: 1.6407]
2022-11-02 22:24:21.206751 Epoch [002/050], Step [0060/0505], [lateral-3: 1.6353]
2022-11-02 22:24:41.740946 Epoch [002/050], Step [0080/0505], [lateral-3: 1.6163]
2022-11-02 22:25:02.166073 Epoch [002/050], Step [0100/0505], [lateral-3: 1.6128]
2022-11-02 22:25:22.351647 Epoch [002/050], Step [0120/0505], [lateral-3: 1.5843]
2022-11-02 22:25:41.994075 Epoch [002/050], Step [0140/0505], [lateral-3: 1.6230]
2022-11-02 22:26:01.985485 Epoch [002/050], Step [0160/0505], [lateral-3: 1.6142]
2022-11-02 22:26:21.817694 Epoch [002/050], Step [0180/0505], [lateral-3: 1.5574]
2022-11-02 22:26:41.660598 Epoch [002/050], Step [0200/0505], [lateral-3: 1.5659]
2022-11-02 22:27:01.619302 Epoch [002/050], Step [0220/0505], [lateral-3: 1.5760]
2022-11-02 22:27:21.637537 Epoch [002/050], Step [0240/0505], [lateral-3: 1.5508]
2022-11-02 22:27:42.668280 Epoch [002/050], Step [0260/0505], [lateral-3: 1.5219]
2022-11-02 22:28:02.493155 Epoch [002/050], Step [0280/0505], [lateral-3: 1.5080]
2022-11-02 22:28:22.433218 Epoch [002/050], Step [0300/0505], [lateral-3: 1.5097]
2022-11-02 22:28:42.211944 Epoch [002/050], Step [0320/0505], [lateral-3: 1.5172]
2022-11-02 22:29:01.934700 Epoch [002/050], Step [0340/0505], [lateral-3: 1.5069]
2022-11-02 22:29:22.074030 Epoch [002/050], Step [0360/0505], [lateral-3: 1.5186]
2022-11-02 22:29:41.668088 Epoch [002/050], Step [0380/0505], [lateral-3: 1.5003]
2022-11-02 22:30:00.889223 Epoch [002/050], Step [0400/0505], [lateral-3: 1.4299]
2022-11-02 22:30:21.268681 Epoch [002/050], Step [0420/0505], [lateral-3: 1.4608]
2022-11-02 22:30:41.836947 Epoch [002/050], Step [0440/0505], [lateral-3: 1.5044]
2022-11-02 22:31:02.548029 Epoch [002/050], Step [0460/0505], [lateral-3: 1.4737]
2022-11-02 22:31:22.660377 Epoch [002/050], Step [0480/0505], [lateral-3: 1.4574]
2022-11-02 22:31:42.748054 Epoch [002/050], Step [0500/0505], [lateral-3: 1.4486]
2022-11-02 22:31:47.501272 Epoch [002/050], Step [0505/0505], [lateral-3: 1.4417]
{'time': datetime.datetime(2022, 11, 2, 22, 31, 47, 659312), 'Epoch ': 2, 'loss': tensor(1.4417, device='cuda:0')}

2022-11-02 22:32:09.276307 Epoch [003/050], Step [0020/0505], [lateral-3: 1.3011]
2022-11-02 22:32:29.349045 Epoch [003/050], Step [0040/0505], [lateral-3: 1.3229]
2022-11-02 22:32:50.219538 Epoch [003/050], Step [0060/0505], [lateral-3: 1.3447]
2022-11-02 22:33:10.779017 Epoch [003/050], Step [0080/0505], [lateral-3: 1.3203]
2022-11-02 22:33:30.897823 Epoch [003/050], Step [0100/0505], [lateral-3: 1.2966]
2022-11-02 22:33:51.235955 Epoch [003/050], Step [0120/0505], [lateral-3: 1.2871]
2022-11-02 22:34:11.140612 Epoch [003/050], Step [0140/0505], [lateral-3: 1.3489]
2022-11-02 22:34:31.701366 Epoch [003/050], Step [0160/0505], [lateral-3: 1.3921]
2022-11-02 22:34:52.184740 Epoch [003/050], Step [0180/0505], [lateral-3: 1.3006]
2022-11-02 22:35:12.739790 Epoch [003/050], Step [0200/0505], [lateral-3: 1.2900]
2022-11-02 22:35:32.322837 Epoch [003/050], Step [0220/0505], [lateral-3: 1.3416]
2022-11-02 22:35:52.854780 Epoch [003/050], Step [0240/0505], [lateral-3: 1.3573]
2022-11-02 22:36:12.640589 Epoch [003/050], Step [0260/0505], [lateral-3: 1.3523]
2022-11-02 22:36:33.095626 Epoch [003/050], Step [0280/0505], [lateral-3: 1.3146]
2022-11-02 22:36:53.507162 Epoch [003/050], Step [0300/0505], [lateral-3: 1.2970]
2022-11-02 22:37:13.261232 Epoch [003/050], Step [0320/0505], [lateral-3: 1.3135]
2022-11-02 22:37:32.358464 Epoch [003/050], Step [0340/0505], [lateral-3: 1.3403]
2022-11-02 22:37:52.818309 Epoch [003/050], Step [0360/0505], [lateral-3: 1.3081]
2022-11-02 22:38:12.761817 Epoch [003/050], Step [0380/0505], [lateral-3: 1.2819]
2022-11-02 22:38:32.807835 Epoch [003/050], Step [0400/0505], [lateral-3: 1.3032]
2022-11-02 22:38:52.783203 Epoch [003/050], Step [0420/0505], [lateral-3: 1.2940]
2022-11-02 22:39:12.629195 Epoch [003/050], Step [0440/0505], [lateral-3: 1.2660]
2022-11-02 22:39:32.507847 Epoch [003/050], Step [0460/0505], [lateral-3: 1.2959]
2022-11-02 22:39:52.625185 Epoch [003/050], Step [0480/0505], [lateral-3: 1.3045]
2022-11-02 22:40:12.639110 Epoch [003/050], Step [0500/0505], [lateral-3: 1.3100]
2022-11-02 22:40:17.735051 Epoch [003/050], Step [0505/0505], [lateral-3: 1.3009]
