2022-10-27 22:10:23.744380 Epoch [001/200], Step [0020/0505], [lateral-3: 2.7345]
2022-10-27 22:10:42.818206 Epoch [001/200], Step [0040/0505], [lateral-3: 2.5478]
2022-10-27 22:11:01.988027 Epoch [001/200], Step [0060/0505], [lateral-3: 2.3061]
2022-10-27 22:11:21.258160 Epoch [001/200], Step [0080/0505], [lateral-3: 2.2370]
2022-10-27 22:11:40.377505 Epoch [001/200], Step [0100/0505], [lateral-3: 2.1923]
2022-10-27 22:12:00.007640 Epoch [001/200], Step [0120/0505], [lateral-3: 2.1621]
2022-10-27 22:12:19.376310 Epoch [001/200], Step [0140/0505], [lateral-3: 2.1110]
2022-10-27 22:12:38.665401 Epoch [001/200], Step [0160/0505], [lateral-3: 2.0320]
2022-10-27 22:12:57.866274 Epoch [001/200], Step [0180/0505], [lateral-3: 2.0224]
2022-10-27 22:13:17.006257 Epoch [001/200], Step [0200/0505], [lateral-3: 2.0214]
2022-10-27 22:13:36.344393 Epoch [001/200], Step [0220/0505], [lateral-3: 1.9895]
2022-10-27 22:13:55.717588 Epoch [001/200], Step [0240/0505], [lateral-3: 1.9555]
2022-10-27 22:14:14.260966 Epoch [001/200], Step [0260/0505], [lateral-3: 1.9504]
2022-10-27 22:14:33.590153 Epoch [001/200], Step [0280/0505], [lateral-3: 1.9419]
2022-10-27 22:14:52.743414 Epoch [001/200], Step [0300/0505], [lateral-3: 1.8899]
2022-10-27 22:15:11.674946 Epoch [001/200], Step [0320/0505], [lateral-3: 1.8573]
2022-10-27 22:15:30.856388 Epoch [001/200], Step [0340/0505], [lateral-3: 1.8563]
2022-10-27 22:15:50.495061 Epoch [001/200], Step [0360/0505], [lateral-3: 1.8489]
2022-10-27 22:16:10.081640 Epoch [001/200], Step [0380/0505], [lateral-3: 1.8396]
2022-10-27 22:16:29.407389 Epoch [001/200], Step [0400/0505], [lateral-3: 1.8474]
2022-10-27 22:16:48.558241 Epoch [001/200], Step [0420/0505], [lateral-3: 1.8092]
2022-10-27 22:17:07.686996 Epoch [001/200], Step [0440/0505], [lateral-3: 1.7682]
2022-10-27 22:17:27.002140 Epoch [001/200], Step [0460/0505], [lateral-3: 1.7673]
2022-10-27 22:17:45.952179 Epoch [001/200], Step [0480/0505], [lateral-3: 1.7479]
2022-10-27 22:18:05.172187 Epoch [001/200], Step [0500/0505], [lateral-3: 1.7612]
