2022-10-28 22:10:49.920149 Epoch [001/050], Step [0020/0505], [lateral-3: 2.6000]
2022-10-28 22:11:05.304211 Epoch [001/050], Step [0040/0505], [lateral-3: 2.3985]
2022-10-28 22:11:20.614611 Epoch [001/050], Step [0060/0505], [lateral-3: 2.1022]
2022-10-28 22:11:36.048550 Epoch [001/050], Step [0080/0505], [lateral-3: 1.9963]
2022-10-28 22:11:51.436166 Epoch [001/050], Step [0100/0505], [lateral-3: 1.9470]
2022-10-28 22:12:06.619076 Epoch [001/050], Step [0120/0505], [lateral-3: 1.9088]
2022-10-28 22:12:22.046056 Epoch [001/050], Step [0140/0505], [lateral-3: 1.8537]
2022-10-28 22:12:37.895575 Epoch [001/050], Step [0160/0505], [lateral-3: 1.8009]
2022-10-28 22:12:53.957139 Epoch [001/050], Step [0180/0505], [lateral-3: 1.7996]
2022-10-28 22:13:09.277709 Epoch [001/050], Step [0200/0505], [lateral-3: 1.7483]
2022-10-28 22:13:24.451789 Epoch [001/050], Step [0220/0505], [lateral-3: 1.7045]
2022-10-28 22:13:39.625396 Epoch [001/050], Step [0240/0505], [lateral-3: 1.7238]
2022-10-28 22:13:55.153022 Epoch [001/050], Step [0260/0505], [lateral-3: 1.7837]
2022-10-28 22:14:10.338538 Epoch [001/050], Step [0280/0505], [lateral-3: 1.7412]
2022-10-28 22:14:26.117356 Epoch [001/050], Step [0300/0505], [lateral-3: 1.6476]
2022-10-28 22:14:41.667907 Epoch [001/050], Step [0320/0505], [lateral-3: 1.6536]
2022-10-28 22:14:56.798387 Epoch [001/050], Step [0340/0505], [lateral-3: 1.6319]
2022-10-28 22:15:12.903036 Epoch [001/050], Step [0360/0505], [lateral-3: 1.6181]
2022-10-28 22:15:27.934970 Epoch [001/050], Step [0380/0505], [lateral-3: 1.6234]
2022-10-28 22:15:44.006082 Epoch [001/050], Step [0400/0505], [lateral-3: 1.6179]
2022-10-28 22:15:59.702880 Epoch [001/050], Step [0420/0505], [lateral-3: 1.5775]
2022-10-28 22:16:15.493599 Epoch [001/050], Step [0440/0505], [lateral-3: 1.5102]
2022-10-28 22:16:31.367984 Epoch [001/050], Step [0460/0505], [lateral-3: 1.5073]
2022-10-28 22:16:47.071299 Epoch [001/050], Step [0480/0505], [lateral-3: 1.5497]
2022-10-28 22:17:02.264765 Epoch [001/050], Step [0500/0505], [lateral-3: 1.5836]
2022-10-28 22:17:06.185878 Epoch [001/050], Step [0505/0505], [lateral-3: 1.5653]
{'time': datetime.datetime(2022, 10, 28, 22, 17, 6, 289236), 'Epoch ': 1, 'loss': tensor(1.5653, device='cuda:0')}

2022-10-28 22:17:22.836665 Epoch [002/050], Step [0020/0505], [lateral-3: 1.3701]
2022-10-28 22:17:37.961993 Epoch [002/050], Step [0040/0505], [lateral-3: 1.3674]
2022-10-28 22:17:53.061237 Epoch [002/050], Step [0060/0505], [lateral-3: 1.3493]
2022-10-28 22:18:08.959063 Epoch [002/050], Step [0080/0505], [lateral-3: 1.3402]
2022-10-28 22:18:24.689583 Epoch [002/050], Step [0100/0505], [lateral-3: 1.3830]
2022-10-28 22:18:40.228382 Epoch [002/050], Step [0120/0505], [lateral-3: 1.3785]
2022-10-28 22:18:55.977755 Epoch [002/050], Step [0140/0505], [lateral-3: 1.3380]
