2022-10-30 21:42:27.110390 Epoch [001/050], Step [0020/0505], [lateral-3: 2.9577]
2022-10-30 21:42:46.557439 Epoch [001/050], Step [0040/0505], [lateral-3: 2.8732]
2022-10-30 21:43:05.178519 Epoch [001/050], Step [0060/0505], [lateral-3: 2.7129]
2022-10-30 21:43:24.502425 Epoch [001/050], Step [0080/0505], [lateral-3: 2.6029]
2022-10-30 21:43:45.251429 Epoch [001/050], Step [0100/0505], [lateral-3: 2.5346]
2022-10-30 21:44:05.970165 Epoch [001/050], Step [0120/0505], [lateral-3: 2.5023]
2022-10-30 21:44:26.052704 Epoch [001/050], Step [0140/0505], [lateral-3: 2.4545]
2022-10-30 21:44:44.660931 Epoch [001/050], Step [0160/0505], [lateral-3: 2.3680]
2022-10-30 21:45:03.617523 Epoch [001/050], Step [0180/0505], [lateral-3: 2.3204]
2022-10-30 21:45:23.204640 Epoch [001/050], Step [0200/0505], [lateral-3: 2.3054]
2022-10-30 21:45:42.382023 Epoch [001/050], Step [0220/0505], [lateral-3: 2.2643]
2022-10-30 21:46:02.488142 Epoch [001/050], Step [0240/0505], [lateral-3: 2.2331]
2022-10-30 21:46:22.379943 Epoch [001/050], Step [0260/0505], [lateral-3: 2.2050]
2022-10-30 21:46:41.441522 Epoch [001/050], Step [0280/0505], [lateral-3: 2.1547]
2022-10-30 21:47:00.930952 Epoch [001/050], Step [0300/0505], [lateral-3: 2.1305]
2022-10-30 21:47:19.802329 Epoch [001/050], Step [0320/0505], [lateral-3: 2.1094]
2022-10-30 21:47:38.923508 Epoch [001/050], Step [0340/0505], [lateral-3: 2.0842]
2022-10-30 21:47:58.286383 Epoch [001/050], Step [0360/0505], [lateral-3: 2.0670]
2022-10-30 21:48:18.143766 Epoch [001/050], Step [0380/0505], [lateral-3: 2.0362]
2022-10-30 21:48:37.878708 Epoch [001/050], Step [0400/0505], [lateral-3: 1.9548]
2022-10-30 21:48:57.924140 Epoch [001/050], Step [0420/0505], [lateral-3: 1.8932]
2022-10-30 21:49:17.881702 Epoch [001/050], Step [0440/0505], [lateral-3: 1.9052]
2022-10-30 21:49:37.143882 Epoch [001/050], Step [0460/0505], [lateral-3: 1.9088]
2022-10-30 21:49:56.340787 Epoch [001/050], Step [0480/0505], [lateral-3: 1.8851]
2022-10-30 21:50:16.285889 Epoch [001/050], Step [0500/0505], [lateral-3: 1.8964]
2022-10-30 21:50:20.940584 Epoch [001/050], Step [0505/0505], [lateral-3: 1.8972]
{'time': datetime.datetime(2022, 10, 30, 21, 50, 21, 53373), 'Epoch ': 1, 'loss': tensor(1.8972, device='cuda:0')}

2022-10-30 21:50:42.093863 Epoch [002/050], Step [0020/0505], [lateral-3: 1.7387]
2022-10-30 21:51:01.995899 Epoch [002/050], Step [0040/0505], [lateral-3: 1.7417]
2022-10-30 21:51:21.699618 Epoch [002/050], Step [0060/0505], [lateral-3: 1.7281]
2022-10-30 21:51:42.202609 Epoch [002/050], Step [0080/0505], [lateral-3: 1.7033]
2022-10-30 21:52:02.145047 Epoch [002/050], Step [0100/0505], [lateral-3: 1.7029]
2022-10-30 21:52:21.816008 Epoch [002/050], Step [0120/0505], [lateral-3: 1.6958]
2022-10-30 21:52:42.113358 Epoch [002/050], Step [0140/0505], [lateral-3: 1.6676]
2022-10-30 21:53:00.907994 Epoch [002/050], Step [0160/0505], [lateral-3: 1.6469]
2022-10-30 21:53:20.991263 Epoch [002/050], Step [0180/0505], [lateral-3: 1.6447]
2022-10-30 21:53:41.389474 Epoch [002/050], Step [0200/0505], [lateral-3: 1.6236]
2022-10-30 21:54:01.801499 Epoch [002/050], Step [0220/0505], [lateral-3: 1.5815]
2022-10-30 21:54:20.947824 Epoch [002/050], Step [0240/0505], [lateral-3: 1.5923]
2022-10-30 21:54:39.698866 Epoch [002/050], Step [0260/0505], [lateral-3: 1.5975]
2022-10-30 21:54:59.531778 Epoch [002/050], Step [0280/0505], [lateral-3: 1.6045]
2022-10-30 21:55:19.735532 Epoch [002/050], Step [0300/0505], [lateral-3: 1.6134]
2022-10-30 21:55:39.845590 Epoch [002/050], Step [0320/0505], [lateral-3: 1.5719]
2022-10-30 21:55:59.468869 Epoch [002/050], Step [0340/0505], [lateral-3: 1.5251]
2022-10-30 21:56:19.828069 Epoch [002/050], Step [0360/0505], [lateral-3: 1.5188]
2022-10-30 21:56:40.198545 Epoch [002/050], Step [0380/0505], [lateral-3: 1.5445]
2022-10-30 21:56:59.782325 Epoch [002/050], Step [0400/0505], [lateral-3: 1.5241]
2022-10-30 21:57:19.526807 Epoch [002/050], Step [0420/0505], [lateral-3: 1.5308]
2022-10-30 21:57:39.284286 Epoch [002/050], Step [0440/0505], [lateral-3: 1.5399]
2022-10-30 21:57:59.043885 Epoch [002/050], Step [0460/0505], [lateral-3: 1.4766]
2022-10-30 21:58:18.557182 Epoch [002/050], Step [0480/0505], [lateral-3: 1.5034]
2022-10-30 21:58:37.649130 Epoch [002/050], Step [0500/0505], [lateral-3: 1.5345]
2022-10-30 21:58:42.344968 Epoch [002/050], Step [0505/0505], [lateral-3: 1.5225]
{'time': datetime.datetime(2022, 10, 30, 21, 58, 42, 507394), 'Epoch ': 2, 'loss': tensor(1.5225, device='cuda:0')}

2022-10-30 21:59:03.417454 Epoch [003/050], Step [0020/0505], [lateral-3: 1.4003]
2022-10-30 21:59:23.989694 Epoch [003/050], Step [0040/0505], [lateral-3: 1.3783]
2022-10-30 21:59:44.093526 Epoch [003/050], Step [0060/0505], [lateral-3: 1.3551]
2022-10-30 22:00:04.202063 Epoch [003/050], Step [0080/0505], [lateral-3: 1.3574]
2022-10-30 22:00:24.450682 Epoch [003/050], Step [0100/0505], [lateral-3: 1.4125]
2022-10-30 22:00:44.872968 Epoch [003/050], Step [0120/0505], [lateral-3: 1.4249]
2022-10-30 22:01:04.131665 Epoch [003/050], Step [0140/0505], [lateral-3: 1.3508]
2022-10-30 22:01:23.738809 Epoch [003/050], Step [0160/0505], [lateral-3: 1.3284]
2022-10-30 22:01:44.361600 Epoch [003/050], Step [0180/0505], [lateral-3: 1.3686]
2022-10-30 22:02:03.445948 Epoch [003/050], Step [0200/0505], [lateral-3: 1.3397]
2022-10-30 22:02:22.942282 Epoch [003/050], Step [0220/0505], [lateral-3: 1.2987]
2022-10-30 22:02:41.867131 Epoch [003/050], Step [0240/0505], [lateral-3: 1.3097]
2022-10-30 22:03:00.581937 Epoch [003/050], Step [0260/0505], [lateral-3: 1.3123]
2022-10-30 22:03:19.920705 Epoch [003/050], Step [0280/0505], [lateral-3: 1.3548]
2022-10-30 22:03:39.098442 Epoch [003/050], Step [0300/0505], [lateral-3: 1.3398]
2022-10-30 22:03:58.903143 Epoch [003/050], Step [0320/0505], [lateral-3: 1.3500]
2022-10-30 22:04:18.977320 Epoch [003/050], Step [0340/0505], [lateral-3: 1.3078]
2022-10-30 22:04:38.822931 Epoch [003/050], Step [0360/0505], [lateral-3: 1.2742]
2022-10-30 22:04:58.532056 Epoch [003/050], Step [0380/0505], [lateral-3: 1.3364]
2022-10-30 22:05:18.001174 Epoch [003/050], Step [0400/0505], [lateral-3: 1.3232]
2022-10-30 22:05:37.212835 Epoch [003/050], Step [0420/0505], [lateral-3: 1.3696]
2022-10-30 22:05:56.767787 Epoch [003/050], Step [0440/0505], [lateral-3: 1.3445]
2022-10-30 22:06:16.662310 Epoch [003/050], Step [0460/0505], [lateral-3: 1.2968]
2022-10-30 22:06:36.288848 Epoch [003/050], Step [0480/0505], [lateral-3: 1.3293]
2022-10-30 22:06:55.886179 Epoch [003/050], Step [0500/0505], [lateral-3: 1.3114]
2022-10-30 22:07:00.643722 Epoch [003/050], Step [0505/0505], [lateral-3: 1.3204]
{'time': datetime.datetime(2022, 10, 30, 22, 7, 0, 788933), 'Epoch ': 3, 'loss': tensor(1.3204, device='cuda:0')}

2022-10-30 22:07:21.212491 Epoch [004/050], Step [0020/0505], [lateral-3: 1.1545]
2022-10-30 22:07:41.003795 Epoch [004/050], Step [0040/0505], [lateral-3: 1.1654]
2022-10-30 22:07:59.985235 Epoch [004/050], Step [0060/0505], [lateral-3: 1.1852]
2022-10-30 22:08:20.307480 Epoch [004/050], Step [0080/0505], [lateral-3: 1.1654]
2022-10-30 22:08:40.863669 Epoch [004/050], Step [0100/0505], [lateral-3: 1.1785]
2022-10-30 22:09:00.018542 Epoch [004/050], Step [0120/0505], [lateral-3: 1.2065]
2022-10-30 22:09:19.533990 Epoch [004/050], Step [0140/0505], [lateral-3: 1.1779]
2022-10-30 22:09:38.815711 Epoch [004/050], Step [0160/0505], [lateral-3: 1.1924]
2022-10-30 22:09:57.565455 Epoch [004/050], Step [0180/0505], [lateral-3: 1.1597]
2022-10-30 22:10:17.576537 Epoch [004/050], Step [0200/0505], [lateral-3: 1.1398]
2022-10-30 22:10:36.631332 Epoch [004/050], Step [0220/0505], [lateral-3: 1.1701]
2022-10-30 22:10:55.637921 Epoch [004/050], Step [0240/0505], [lateral-3: 1.2038]
2022-10-30 22:11:14.237223 Epoch [004/050], Step [0260/0505], [lateral-3: 1.2217]
2022-10-30 22:11:33.719838 Epoch [004/050], Step [0280/0505], [lateral-3: 1.2246]
2022-10-30 22:11:53.287095 Epoch [004/050], Step [0300/0505], [lateral-3: 1.2471]
2022-10-30 22:12:12.631731 Epoch [004/050], Step [0320/0505], [lateral-3: 1.2667]
2022-10-30 22:12:32.031671 Epoch [004/050], Step [0340/0505], [lateral-3: 1.2426]
2022-10-30 22:12:51.289957 Epoch [004/050], Step [0360/0505], [lateral-3: 1.2089]
2022-10-30 22:13:10.606189 Epoch [004/050], Step [0380/0505], [lateral-3: 1.2392]
2022-10-30 22:13:30.989721 Epoch [004/050], Step [0400/0505], [lateral-3: 1.2044]
