2022-11-02 22:15:59.041892 Epoch [001/050], Step [0020/0505], [lateral-3: 2.9943]
2022-11-02 22:16:24.776309 Epoch [001/050], Step [0040/0505], [lateral-3: 2.8088]
2022-11-02 22:16:50.681058 Epoch [001/050], Step [0060/0505], [lateral-3: 2.5696]
2022-11-02 22:17:16.876996 Epoch [001/050], Step [0080/0505], [lateral-3: 2.4582]
2022-11-02 22:17:43.010070 Epoch [001/050], Step [0100/0505], [lateral-3: 2.3588]
2022-11-02 22:18:09.197924 Epoch [001/050], Step [0120/0505], [lateral-3: 2.3084]
2022-11-02 22:18:35.363056 Epoch [001/050], Step [0140/0505], [lateral-3: 2.2958]
2022-11-02 22:19:01.264110 Epoch [001/050], Step [0160/0505], [lateral-3: 2.2700]
2022-11-02 22:19:27.520660 Epoch [001/050], Step [0180/0505], [lateral-3: 2.2360]
2022-11-02 22:19:53.128077 Epoch [001/050], Step [0200/0505], [lateral-3: 2.1626]
2022-11-02 22:20:19.300664 Epoch [001/050], Step [0220/0505], [lateral-3: 2.0673]
2022-11-02 22:20:45.486237 Epoch [001/050], Step [0240/0505], [lateral-3: 2.0258]
2022-11-02 22:21:11.703351 Epoch [001/050], Step [0260/0505], [lateral-3: 2.0123]
2022-11-02 22:21:37.849628 Epoch [001/050], Step [0280/0505], [lateral-3: 1.9875]
2022-11-02 22:22:04.042340 Epoch [001/050], Step [0300/0505], [lateral-3: 1.9574]
2022-11-02 22:22:30.126765 Epoch [001/050], Step [0320/0505], [lateral-3: 1.9403]
2022-11-02 22:22:56.278386 Epoch [001/050], Step [0340/0505], [lateral-3: 1.8846]
2022-11-02 22:23:21.925219 Epoch [001/050], Step [0360/0505], [lateral-3: 1.8497]
2022-11-02 22:23:47.533706 Epoch [001/050], Step [0380/0505], [lateral-3: 1.8606]
2022-11-02 22:24:13.339050 Epoch [001/050], Step [0400/0505], [lateral-3: 1.8344]
