2022-11-03 10:42:44.343134 Epoch [001/050], Step [0020/0505], [lateral-3: 2.9233]
2022-11-03 10:43:01.591583 Epoch [001/050], Step [0040/0505], [lateral-3: 2.7827]
2022-11-03 10:43:18.943628 Epoch [001/050], Step [0060/0505], [lateral-3: 2.5949]
2022-11-03 10:43:33.908384 Epoch [001/050], Step [0080/0505], [lateral-3: 2.5029]
2022-11-03 10:43:50.804079 Epoch [001/050], Step [0100/0505], [lateral-3: 2.4250]
2022-11-03 10:44:07.963829 Epoch [001/050], Step [0120/0505], [lateral-3: 2.3718]
2022-11-03 10:44:25.172317 Epoch [001/050], Step [0140/0505], [lateral-3: 2.3246]
2022-11-03 10:44:41.323852 Epoch [001/050], Step [0160/0505], [lateral-3: 2.2591]
2022-11-03 10:44:57.695905 Epoch [001/050], Step [0180/0505], [lateral-3: 2.2170]
2022-11-03 10:45:14.426887 Epoch [001/050], Step [0200/0505], [lateral-3: 2.1887]
2022-11-03 10:45:30.339995 Epoch [001/050], Step [0220/0505], [lateral-3: 2.1372]
2022-11-03 10:45:46.059358 Epoch [001/050], Step [0240/0505], [lateral-3: 2.1001]
2022-11-03 10:46:01.986860 Epoch [001/050], Step [0260/0505], [lateral-3: 2.0566]
2022-11-03 10:46:17.323165 Epoch [001/050], Step [0280/0505], [lateral-3: 2.0029]
2022-11-03 10:46:33.988390 Epoch [001/050], Step [0300/0505], [lateral-3: 1.9792]
2022-11-03 10:46:49.704570 Epoch [001/050], Step [0320/0505], [lateral-3: 1.9903]
2022-11-03 10:47:05.976663 Epoch [001/050], Step [0340/0505], [lateral-3: 1.9601]
2022-11-03 10:47:22.183873 Epoch [001/050], Step [0360/0505], [lateral-3: 1.9331]
2022-11-03 10:47:37.010194 Epoch [001/050], Step [0380/0505], [lateral-3: 1.9210]
2022-11-03 10:47:52.757164 Epoch [001/050], Step [0400/0505], [lateral-3: 1.8551]
2022-11-03 10:48:09.865583 Epoch [001/050], Step [0420/0505], [lateral-3: 1.8146]
2022-11-03 10:48:26.095818 Epoch [001/050], Step [0440/0505], [lateral-3: 1.8286]
2022-11-03 10:48:44.050282 Epoch [001/050], Step [0460/0505], [lateral-3: 1.7909]
2022-11-03 10:49:00.740405 Epoch [001/050], Step [0480/0505], [lateral-3: 1.7268]
2022-11-03 10:49:16.275790 Epoch [001/050], Step [0500/0505], [lateral-3: 1.7375]
2022-11-03 10:49:19.930697 Epoch [001/050], Step [0505/0505], [lateral-3: 1.7308]
{'time': datetime.datetime(2022, 11, 3, 10, 49, 20, 23924), 'Epoch ': 1, 'loss': tensor(1.7308, device='cuda:0')}

2022-11-03 10:49:38.655932 Epoch [002/050], Step [0020/0505], [lateral-3: 1.6486]
2022-11-03 10:49:55.722286 Epoch [002/050], Step [0040/0505], [lateral-3: 1.6069]
2022-11-03 10:50:13.241613 Epoch [002/050], Step [0060/0505], [lateral-3: 1.5603]
2022-11-03 10:50:32.035135 Epoch [002/050], Step [0080/0505], [lateral-3: 1.5998]
2022-11-03 10:50:50.938291 Epoch [002/050], Step [0100/0505], [lateral-3: 1.5995]
2022-11-03 10:51:09.849556 Epoch [002/050], Step [0120/0505], [lateral-3: 1.5230]
2022-11-03 10:51:28.632157 Epoch [002/050], Step [0140/0505], [lateral-3: 1.5500]
2022-11-03 10:51:47.388857 Epoch [002/050], Step [0160/0505], [lateral-3: 1.5886]
2022-11-03 10:52:06.074867 Epoch [002/050], Step [0180/0505], [lateral-3: 1.5366]
2022-11-03 10:52:24.867876 Epoch [002/050], Step [0200/0505], [lateral-3: 1.5301]
2022-11-03 10:52:43.533995 Epoch [002/050], Step [0220/0505], [lateral-3: 1.4946]
2022-11-03 10:53:02.334654 Epoch [002/050], Step [0240/0505], [lateral-3: 1.4310]
2022-11-03 10:53:21.224711 Epoch [002/050], Step [0260/0505], [lateral-3: 1.4299]
2022-11-03 10:53:40.078615 Epoch [002/050], Step [0280/0505], [lateral-3: 1.4709]
2022-11-03 10:53:58.876741 Epoch [002/050], Step [0300/0505], [lateral-3: 1.4799]
2022-11-03 10:54:17.717801 Epoch [002/050], Step [0320/0505], [lateral-3: 1.4629]
2022-11-03 10:54:36.562002 Epoch [002/050], Step [0340/0505], [lateral-3: 1.5476]
2022-11-03 10:54:55.244571 Epoch [002/050], Step [0360/0505], [lateral-3: 1.5430]
2022-11-03 10:55:14.150146 Epoch [002/050], Step [0380/0505], [lateral-3: 1.4203]
2022-11-03 10:55:33.077481 Epoch [002/050], Step [0400/0505], [lateral-3: 1.4194]
2022-11-03 10:55:51.853255 Epoch [002/050], Step [0420/0505], [lateral-3: 1.4620]
2022-11-03 10:56:10.385079 Epoch [002/050], Step [0440/0505], [lateral-3: 1.4542]
2022-11-03 10:56:29.217212 Epoch [002/050], Step [0460/0505], [lateral-3: 1.4355]
2022-11-03 10:56:48.009298 Epoch [002/050], Step [0480/0505], [lateral-3: 1.4119]
2022-11-03 10:57:06.601813 Epoch [002/050], Step [0500/0505], [lateral-3: 1.4043]
2022-11-03 10:57:11.233838 Epoch [002/050], Step [0505/0505], [lateral-3: 1.3820]
{'time': datetime.datetime(2022, 11, 3, 10, 57, 11, 434637), 'Epoch ': 2, 'loss': tensor(1.3820, device='cuda:0')}

2022-11-03 10:57:31.322862 Epoch [003/050], Step [0020/0505], [lateral-3: 1.2790]
2022-11-03 10:57:50.336232 Epoch [003/050], Step [0040/0505], [lateral-3: 1.2781]
2022-11-03 10:58:09.095309 Epoch [003/050], Step [0060/0505], [lateral-3: 1.2567]
2022-11-03 10:58:27.721981 Epoch [003/050], Step [0080/0505], [lateral-3: 1.2120]
2022-11-03 10:58:45.543398 Epoch [003/050], Step [0100/0505], [lateral-3: 1.2276]
2022-11-03 10:59:03.815875 Epoch [003/050], Step [0120/0505], [lateral-3: 1.2850]
2022-11-03 10:59:22.677952 Epoch [003/050], Step [0140/0505], [lateral-3: 1.3439]
2022-11-03 10:59:41.603624 Epoch [003/050], Step [0160/0505], [lateral-3: 1.3233]
2022-11-03 11:00:00.369469 Epoch [003/050], Step [0180/0505], [lateral-3: 1.2250]
2022-11-03 11:00:18.867911 Epoch [003/050], Step [0200/0505], [lateral-3: 1.2117]
2022-11-03 11:00:36.144244 Epoch [003/050], Step [0220/0505], [lateral-3: 1.2629]
2022-11-03 11:00:51.920894 Epoch [003/050], Step [0240/0505], [lateral-3: 1.2545]
2022-11-03 11:01:08.013994 Epoch [003/050], Step [0260/0505], [lateral-3: 1.2602]
2022-11-03 11:01:25.666269 Epoch [003/050], Step [0280/0505], [lateral-3: 1.3055]
2022-11-03 11:01:44.556300 Epoch [003/050], Step [0300/0505], [lateral-3: 1.2811]
2022-11-03 11:02:03.598427 Epoch [003/050], Step [0320/0505], [lateral-3: 1.2755]
2022-11-03 11:02:22.425617 Epoch [003/050], Step [0340/0505], [lateral-3: 1.3092]
2022-11-03 11:02:41.268155 Epoch [003/050], Step [0360/0505], [lateral-3: 1.3234]
2022-11-03 11:03:00.259860 Epoch [003/050], Step [0380/0505], [lateral-3: 1.3443]
2022-11-03 11:03:19.156186 Epoch [003/050], Step [0400/0505], [lateral-3: 1.3619]
2022-11-03 11:03:37.837315 Epoch [003/050], Step [0420/0505], [lateral-3: 1.3708]
2022-11-03 11:03:56.583395 Epoch [003/050], Step [0440/0505], [lateral-3: 1.3400]
2022-11-03 11:04:14.598426 Epoch [003/050], Step [0460/0505], [lateral-3: 1.3360]
2022-11-03 11:04:31.875759 Epoch [003/050], Step [0480/0505], [lateral-3: 1.3347]
2022-11-03 11:04:48.836785 Epoch [003/050], Step [0500/0505], [lateral-3: 1.2452]
2022-11-03 11:04:52.672688 Epoch [003/050], Step [0505/0505], [lateral-3: 1.2569]
{'time': datetime.datetime(2022, 11, 3, 11, 4, 52, 832636), 'Epoch ': 3, 'loss': tensor(1.2569, device='cuda:0')}

