trial_id,training_loss,val_mea,val_smeasure,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/lr,config/weight_decay,config/beta1,config/beta2
0369d_00000,1.672,0.112,0.791,606.219,True,,,10,e84d8a33beaa4741add1226bb35eb048,2022-11-13_22-41-08,1668350468,6093.277,3910947,node05,10.141.0.5,6093.277,0,10,0.003,"0_beta1=0.9900,beta2=0.0010,lr=0.0000,weight_decay=0.0500",0.0,0.05,0.99,0.001
0369d_00001,0.664,0.064,0.801,604.587,True,,,49,10157b98395f4c07a7a17fc5c2d7be04,2022-11-14_05-12-36,1668373956,29575.987,3911198,node05,10.141.0.5,29575.987,0,49,0.004,"1_beta1=0.9000,beta2=0.0001,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.9,0.0001
0369d_00002,1.661,0.116,0.784,607.273,True,,,10,b66c61e7d52642dbb854e4cfa3ae4e8a,2022-11-13_22-41-28,1668350488,6107.234,3911207,node05,10.141.0.5,6107.234,0,10,0.004,"2_beta1=0.9000,beta2=0.0001,lr=0.0000,weight_decay=0.1000",0.0,0.1,0.9,0.0001
0369d_00003,1.674,0.117,0.787,606.543,True,,,10,7c4301e65d214fe793c77b1ed866630e,2022-11-13_22-41-34,1668350494,6113.628,3911212,node05,10.141.0.5,6113.628,0,10,0.003,"3_beta1=0.9900,beta2=0.0001,lr=0.0000,weight_decay=0.0500",0.0,0.05,0.99,0.0001
0369d_00004,0.431,0.044,0.855,604.264,True,,,49,fb78c468570d4801b58065d0e14ed9d4,2022-11-14_05-13-26,1668374006,29625.906,3911224,node05,10.141.0.5,29625.906,0,49,0.004,"4_beta1=0.9900,beta2=0.0010,lr=0.0001,weight_decay=0.0500",0.0,0.05,0.99,0.001
0369d_00005,1.419,0.095,0.754,605.516,True,,,10,3277116f78ff4cb9a128e47157090713,2022-11-13_22-41-19,1668350479,6098.208,3911228,node05,10.141.0.5,6098.208,0,10,0.009,"5_beta1=0.9000,beta2=0.0001,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.9,0.0001
0369d_00006,1.615,0.114,0.732,604.101,True,,,10,1adb9a7864224df1a5b43a59fcec5260,2022-11-14_00-22-02,1668356522,6046.094,3971230,node05,10.141.0.5,6046.094,0,10,0.009,"6_beta1=0.9000,beta2=0.0010,lr=0.0010,weight_decay=0.1000",0.001,0.1,0.9,0.001
0369d_00007,0.402,0.043,0.856,603.623,True,,,49,ee8b4266c35f4842843b56f58879b366,2022-11-14_06-54-27,1668380067,29583.744,3972128,node05,10.141.0.5,29583.744,0,49,0.004,"7_beta1=0.9000,beta2=0.0010,lr=0.0001,weight_decay=0.0500",0.0,0.05,0.9,0.001
0369d_00008,1.529,0.1,0.75,602.11,True,,,10,eca939dcc4364f248f366249e25c7762,2022-11-14_00-22-04,1668356524,6031.487,3973004,node05,10.141.0.5,6031.487,0,10,0.004,"8_beta1=0.9000,beta2=0.0010,lr=0.0010,weight_decay=0.0500",0.001,0.05,0.9,0.001
0369d_00009,0.879,0.071,0.802,604.08,True,,,30,06f28b72208a483aa076dbe9156c7ff8,2022-11-14_03-43-56,1668368636,18136.306,3973742,node05,10.141.0.5,18136.306,0,30,0.004,"9_beta1=0.9000,beta2=0.0010,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.9,0.001
0369d_00010,0.359,0.045,0.856,600.257,True,,,49,cc06ea197c6342599b1ee140775ee4bc,2022-11-14_08-33-41,1668386021,29491.065,4029397,node05,10.141.0.5,29491.065,0,49,0.003,"10_beta1=0.9000,beta2=0.0001,lr=0.0001,weight_decay=0.0500",0.0,0.05,0.9,0.0001
0369d_00011,0.393,0.045,0.86,602.905,True,,,49,9960b9ad99ee4436ade615010c433692,2022-11-14_08-34-13,1668386053,29523.462,4029418,node05,10.141.0.5,29523.462,0,49,0.004,"11_beta1=0.9000,beta2=0.0010,lr=0.0001,weight_decay=0.0100",0.0,0.01,0.9,0.001
0369d_00012,0.431,0.043,0.853,598.253,True,,,30,491381562eaf41988715181a37784fc0,2022-11-14_08-45-32,1668386732,18088.066,4140619,node05,10.141.0.5,18088.066,0,30,0.004,"12_beta1=0.9900,beta2=0.0010,lr=0.0001,weight_decay=0.0100",0.0,0.01,0.99,0.001
0369d_00013,1.647,0.111,0.793,607.165,True,,,10,a4fa80b5ac0e49c48eac7f08838cb9d5,2022-11-14_06-54-16,1668380056,6094.228,4188578,node05,10.141.0.5,6094.228,0,10,0.004,"13_beta1=0.9000,beta2=0.0010,lr=0.0000,weight_decay=0.1000",0.0,0.1,0.9,0.001
0369d_00014,1.43,0.095,0.75,605.338,True,,,10,1d022fb986224997bb922765998c8853,2022-11-14_06-54-20,1668380060,6049.889,4189792,node05,10.141.0.5,6049.889,0,10,0.004,"14_beta1=0.9000,beta2=0.0010,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.9,0.001
0369d_00015,1.643,0.12,0.784,595.209,True,,,10,b8ad5b9de728421faa3c32df1b704efc,2022-11-14_08-35-21,1668386121,6059.056,52226,node05,10.141.0.5,6059.056,0,10,0.004,"15_beta1=0.9900,beta2=0.0001,lr=0.0000,weight_decay=0.0500",0.0,0.05,0.99,0.0001
0369d_00016,1.631,0.11,0.794,601.972,True,,,10,6c769b48cd8048769915f1f4853ee793,2022-11-14_08-35-09,1668386109,6040.645,52435,node05,10.141.0.5,6040.645,0,10,0.004,"16_beta1=0.9000,beta2=0.0001,lr=0.0000,weight_decay=0.0100",0.0,0.01,0.9,0.0001
0369d_00017,1.68,0.114,0.788,599.73,True,,,10,4a0bf830ee0b4cdba83148166cef4122,2022-11-14_08-35-33,1668386133,6058.561,53902,node05,10.141.0.5,6058.561,0,10,0.004,"17_beta1=0.9000,beta2=0.0001,lr=0.0000,weight_decay=0.1000",0.0,0.1,0.9,0.0001
0369d_00018,0.579,0.049,0.849,599.248,True,,,30,459360eee53a4819a5d2c64b11009c73,2022-11-14_13-33-50,1668404030,18003.924,108292,node05,10.141.0.5,18003.924,0,30,0.004,"18_beta1=0.9900,beta2=0.0001,lr=0.0001,weight_decay=0.1000",0.0,0.1,0.99,0.0001
0369d_00019,1.481,0.096,0.755,600.287,True,,,10,0949b4b8ace24d7eb47c978f3c354c4c,2022-11-14_10-14-27,1668392067,6009.661,109369,node05,10.141.0.5,6009.661,0,10,0.004,"19_beta1=0.9000,beta2=0.0001,lr=0.0010,weight_decay=0.0500",0.001,0.05,0.9,0.0001
0369d_00020,1.602,0.115,0.72,604.971,True,,,10,2aba852782a44bab8b5442b8a1cd4ae9,2022-11-14_10-15-53,1668392153,6039.132,110699,node05,10.141.0.5,6039.132,0,10,0.004,"20_beta1=0.9000,beta2=0.0010,lr=0.0010,weight_decay=0.1000",0.001,0.1,0.9,0.001
0369d_00021,1.69,0.109,0.742,605.587,True,,,10,10205bd50bba41c2810988168dfb84b5,2022-11-14_10-16-09,1668392169,6043.919,111573,node05,10.141.0.5,6043.919,0,10,0.004,"21_beta1=0.9900,beta2=0.0001,lr=0.0010,weight_decay=0.1000",0.001,0.1,0.99,0.0001
0369d_00022,1.446,0.096,0.759,598.484,True,,,10,d771be1ed9de4c4e934ffe29c9e18dd4,2022-11-14_10-16-10,1668392170,6032.441,112530,node05,10.141.0.5,6032.441,0,10,0.004,"22_beta1=0.9900,beta2=0.0001,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.99,0.0001
0369d_00023,1.648,0.111,0.791,604.153,True,,,10,96af3e3c03e24a93b76408e7f82d4ec4,2022-11-14_10-26-18,1668392778,6039.767,118525,node05,10.141.0.5,6039.767,0,10,0.004,"23_beta1=0.9900,beta2=0.0010,lr=0.0000,weight_decay=0.0100",0.0,0.01,0.99,0.001
0369d_00024,1.46,0.097,0.75,600.003,True,,,10,9d6bb9568b1b4bddb5de6dd862a2f7c2,2022-11-14_11-54-24,1668398064,5990.631,168428,node05,10.141.0.5,5990.631,0,10,0.003,"24_beta1=0.9000,beta2=0.0001,lr=0.0010,weight_decay=0.0100",0.001,0.01,0.9,0.0001
0369d_00025,0.436,0.045,0.858,319.238,True,,,30,410d1c88fa804278a35347627bc1d5c3,2022-11-14_14-30-12,1668407412,15254.551,169740,node05,10.141.0.5,15254.551,0,30,0.004,"25_beta1=0.9000,beta2=0.0001,lr=0.0001,weight_decay=0.0500",0.0,0.05,0.9,0.0001
0369d_00026,1.6,0.106,0.727,605.441,True,,,10,510299f6efc1497fbf61dcdfe97aaec7,2022-11-14_11-57-16,1668398236,6063.482,170933,node05,10.141.0.5,6063.482,0,10,0.004,"26_beta1=0.9900,beta2=0.0001,lr=0.0010,weight_decay=0.0500",0.001,0.05,0.99,0.0001
